"id","quote","author","themes","identity_or_culture_note","source_confidence","source_title","source_url","decision","notes"
"q001","Don't ask what the world needs. Ask what makes you come alive.","Howard Thurman","purpose","","needs_source","","","verify",""
"q002","He who has a why to live can bear almost any how.","Friedrich Nietzsche","purpose","","needs_source","","","verify",""
"q003","Life is never made unbearable by circumstances, but only by lack of meaning and purpose.","Viktor Frankl","purpose","","needs_source","","","verify",""
"q004","Efforts and courage are not enough without purpose and direction.","John F. Kennedy","purpose","","needs_source","","","verify",""
"q005","To live is to choose.","Kofi Annan","purpose","","needs_source","","","verify",""
"q006","The soul which has no fixed purpose in life is lost.","Michel de Montaigne","purpose","","needs_source","","","verify",""
"q007","It is not enough to have lived. We should be determined to live for something.","Winston Churchill","purpose","","needs_source","","","verify",""
"q008","One life is all we have and we live it as we believe in living it.","Joan of Arc","purpose","","needs_source","","","verify",""
"q009","The mystery of human existence lies in finding something to live for.","Fyodor Dostoevsky","purpose","","needs_source","","","verify",""
"q010","What lies within us matters more than what lies behind or before us.","Ralph Waldo Emerson","purpose","","needs_source","","","verify",""
"q011","We are here to add what we can to life.","William Osler","purpose","","needs_source","","","verify",""
"q012","The good life is one inspired by love and guided by knowledge.","Bertrand Russell","purpose","","needs_source","","","verify",""
"q013","The unexamined life is not worth living.","Socrates","purpose","","needs_source","","","verify",""
"q014","Happiness depends upon ourselves.","Aristotle","purpose","","needs_source","","","verify",""
"q015","Act as if what you do makes a difference. It does.","William James","purpose","","needs_source","","","verify",""
"q016","The privilege of a lifetime is being who you are.","Joseph Campbell","purpose","","needs_source","","","verify",""
"q017","In the middle of difficulty lies opportunity.","Albert Einstein","purpose","","needs_source","","","verify",""
"q018","The future depends on what you do today.","Mahatma Gandhi","purpose","","needs_source","","","verify",""
"q019","The most common form of despair is not being who you are.","Søren Kierkegaard","purpose","","needs_source","","","verify",""
"q020","Curiosity is the wick in the candle of learning.","William Arthur Ward","purpose","","needs_source","","","verify",""
"q021","The world changes one courageous conversation at a time.","Margaret Wheatley","purpose","","needs_source","","","verify",""
"q022","Your silence will not protect you.","Audre Lorde","purpose","","needs_source","","","verify",""
"q023","Without community, there is no liberation.","Audre Lorde","purpose","","needs_source","","","verify",""
"q024","There is no greater agony than bearing an untold story inside you.","Maya Angelou","purpose","","needs_source","","","verify",""
"q025","My mission in life is not merely to survive, but to thrive.","Maya Angelou","purpose","","needs_source","","","verify",""
"q026","The place in which I'll fit will not exist until I make it.","James Baldwin","purpose","","needs_source","","","verify",""
"q027","Not everything that is faced can be changed; but nothing can be changed until it is faced.","James Baldwin","purpose","","needs_source","","","verify",""
"q028","Definitions belong to the definers, not the defined.","Toni Morrison","purpose","","needs_source","","","verify",""
"q029","Freeing yourself was one thing; claiming ownership of that freed self was another.","Toni Morrison","purpose","","needs_source","","","verify",""
"q030","The function of freedom is to free someone else.","Toni Morrison","purpose","","needs_source","","","verify",""
"q031","I am deliberate and afraid of nothing.","Audre Lorde","purpose","","needs_source","","","verify",""
"q032","When I dare to be powerful, it becomes less and less important whether I am afraid.","Audre Lorde","purpose","","needs_source","","","verify",""
"q033","The most common way people give up their power is by thinking they don't have any.","Alice Walker","purpose","","needs_source","","","verify",""
"q034","Hard times require furious dancing.","Alice Walker","purpose","","needs_source","","","verify",""
"q035","The role of the artist is to make revolution irresistible.","Toni Cade Bambara","purpose","","needs_source","","","verify",""
"q036","The master's tools will never dismantle the master's house.","Audre Lorde","purpose","","needs_source","","","verify",""
"q037","I am no longer accepting the things I cannot change.","Angela Davis","purpose","","needs_source","","","verify",""
"q038","When you learn, teach. When you get, give.","Maya Angelou","purpose","","needs_source","","","verify",""
"q039","We are the ones we have been waiting for.","June Jordan","purpose","","needs_source","","","verify",""
"q040","There is always something left to love.","Lorraine Hansberry","purpose","","needs_source","","","verify",""
"q041","I dwell in possibility.","Emily Dickinson","purpose","","needs_source","","","verify",""
"q042","Forever is composed of nows.","Emily Dickinson","purpose","","needs_source","","","verify",""
"q043","Tell me, what is it you plan to do with your one wild and precious life?","Mary Oliver","purpose","","needs_source","","","verify",""
"q044","Attention is the beginning of devotion.","Mary Oliver","purpose","","needs_source","","","verify",""
"q045","Instructions for living a life: Pay attention. Be astonished. Tell about it.","Mary Oliver","purpose","","needs_source","","","verify",""
"q046","You do not find the happy life. You make it.","Camilla Eyring Kimball","purpose","","needs_source","","","verify",""
"q047","Who looks outside, dreams; who looks inside, awakes.","Carl Jung","purpose","","needs_source","","","verify",""
"q048","We delight in the beauty of the butterfly, but rarely admit the changes it has gone through.","Maya Angelou","purpose","","needs_source","","","verify",""
"q049","There is no passion to be found playing small.","Nelson Mandela","purpose","","needs_source","","","verify",""
"q050","It always seems impossible until it's done.","Nelson Mandela","purpose","","needs_source","","","verify",""
"q051","If you are always trying to be normal, you will never know how amazing you can be.","Maya Angelou","purpose","","needs_source","","","verify",""
